participantId,age_rep,age_best,src
TT002_1783036107525,6,6.852840520191649,DOB
TT002_1783660225682,8,8.566735112936344,DOB
TT003_1783276327793,7,7.964407939767283,DOB
TT004_1783531610408,8,8.678986995208762,DOB
TT004_1785002515732,8,8.796714579055442,DOB
TT005_1782222533582,7,7.780971937029432,DOB
TT006_1782145862602,7,7.049965776865161,DOB
TT007_1782504008463,7,7.38672142368241,DOB
TT008_1783367663960,5,5.897330595482546,DOB
TT009_1782513683179,7,7.189596167008898,DOB
TT009_1784403357857,5,5.295003422313484,DOB
TT015_1783023547568,6,6.9431895961670085,DOB
TT015_1784138458016,8,8.2217659137577,DOB
TT015_1785107406879,5,5.089664613278576,DOB
TT017_1784732543399,6,6.847364818617385,DOB
TT018_1782761382358,5,5.702943189596167,DOB
TT019_1784644948993,8,8.454483230663929,DOB
TT020_1782179445272,5,5.530458590006845,DOB
TT020_1783200401617,7,7.797399041752224,DOB
TT021_1781967893349,8,8.216290212183436,DOB
TT021_1783744427163,8,8.569472963723477,DOB
TT023_1783367000307,7,7.737166324435318,DOB
TT024_1782001172253,5,5.831622176591376,DOB
TT025_1782049334661,8,8.752908966461328,DOB
TT026_1781973377308,6,6.135523613963039,DOB
TT026_1782513261762,8,8.577686516084873,DOB
TT026_1784762637448,8,8.5,reported+0.5
TT027_1783436678833,6,6.899383983572895,DOB
TT028_1782238939541,8,8.624229979466119,DOB
TT028_1782761768628,8,8.41615331964408,DOB
TT028_1783544364653,7,7.189596167008898,DOB
TT030_1781956883477,6,6.976043805612594,DOB
TT030_1782166730391,8,8.657084188911705,DOB
TT031_1782064484090,5,5.207392197125257,DOB
TT031_1783277994812,6,6.187542778918549,DOB
TT032_1783174905305,7,7.036276522929501,DOB
TT033_1784586061112,6,6.193018480492813,DOB
TT035_1784765887863,7,7.794661190965092,DOB
TT036_1782163423431,7,7.696098562628337,DOB
TT036_1782594734016,5,5.650924024640657,DOB
TT036_1784339833949,6,6.5,reported+0.5
TT037_1782003025953,8,8.11772758384668,DOB
TT038_1783001905805,8,8.8870636550308,DOB
TT040_1781993137159,8,8.845995893223819,DOB
TT040_1782232257182,7,7.381245722108145,DOB
TT043_1782760016517,8,8.2217659137577,DOB
TT044_1784302185968,8,8.476386036960985,DOB
TT045_1782502684181,5,5.585215605749487,DOB
TT045_1784314883089,8,8.038329911019849,DOB
TT046_1785183206786,5,5.426420260095825,DOB
TT047_1782245917301,6,6.466803559206023,DOB
TT047_1783527566133,6,6.787132101300479,DOB
TT047_1784681144384,5,5.305954825462012,DOB
TT047_1784737183530,5,5.147159479808351,DOB
TT048_1783098256675,7,8.180698151950718,DOB
TT048_1783376664157,6,6.409308692676249,DOB
TT048_1784160342959,7,7.323750855578371,DOB
TT048_1784396357246,6,6.324435318275154,DOB
TT049_1782164415760,6,6.067077344284736,DOB
TT050_1784726863251,7,7.5,reported+0.5
TT051_1782682822350,6,6.26694045174538,DOB
TT051_1784918286881,5,5.897330595482546,DOB
TT052_1782833886614,6,6.72416153319644,DOB
TT053_1782647688805,8,8.971937029431896,DOB
TT054_1782052225958,5,5.264887063655031,DOB
TT054_1782318541674,5,5.3114305270362765,DOB
TT054_1783172779527,7,7.110198494182067,DOB
TT056_1783201470796,7,7.98631074606434,DOB
TT057_1782179533945,8,8.424366872005475,DOB
TT057_1784572404744,5,6.584531143052704,DOB
TT058_1785105414000,6,6.570841889117043,DOB
TT059_1782780120849,8,8.4435318275154,DOB
TT060_1782161192818,7,7.676933607118412,DOB
TT060_1782174130013,5,5.708418891170431,DOB
TT061_1782573741330,8,8.016427104722792,DOB
TT062_1782343308733,7,7.019849418206708,DOB
TT062_1782438070117,5,5.675564681724846,DOB
TT063_1783095012390,6,6.324435318275154,DOB
TT064_1782491874816,7,7.381245722108145,DOB
TT064_1783885820209,7,7.94798083504449,DOB
TT065_1782051784543,8,8.958247775496236,DOB
TT065_1782393874998,6,6.04517453798768,DOB
TT066_1784429102657,8,8.380561259411362,DOB
TT066_1784688566025,8,8.53388090349076,DOB
TT067_1784399877039,7,7.186858316221766,DOB
TT069_1783100190815,8,8.5,reported+0.5
TT070_1782579104833,7,7.17864476386037,DOB
TT071_1781905409601,5,5.431895961670089,DOB
TT071_1782297949946,8,8.799452429842573,DOB
TT071_1783881857550,5,5.325119780971937,DOB
TT071_1784835831793,6,6.491444216290212,DOB
TT073_1781970589718,8,8.153319644079398,DOB
TT073_1782589793705,5,5.752224503764545,DOB
TT073_1783346232390,8,8.5,reported+0.5
TT074_1784234969944,6,6.844626967830253,DOB
TT075_1783367533391,5,5.155373032169747,DOB
TT076_1784389092899,6,6.822724161533197,DOB
TT076_1784672510159,6,6.1273100616016425,DOB
TT077_1782229399324,5,5.6563997262149215,DOB
TT081_1785111188250,8,8.881587953456537,DOB
TT083_1782904190648,7,7.006160164271047,DOB
TT083_1783863355259,5,5.160848733744011,DOB
TT084_1783452047311,7,7.96167008898015,DOB
TT085_1783884283223,7,7.285420944558521,DOB
TT086_1782951050349,8,8.31211498973306,DOB
TT086_1784258348491,8,8.27378507871321,DOB
TT086_1784989217839,7,7.123887748117728,DOB
TT087_1782243522990,6,6.72416153319644,DOB
TT088_1782352905990,5,5.04312114989733,DOB
TT088_1783353983337,6,6.442162902121835,DOB
TT088_1784141255125,7,7.698836413415469,DOB
TT089_1782853535882,8,8.36413415468857,DOB
TT089_1785095714670,7,7.255304585900069,DOB
TT089_1785165592694,8,8.826830937713895,DOB
TT091_1783199020454,7,7.649555099247091,DOB
TT091_1783605208290,6,6.631074606433949,DOB
TT091_1785033488535,6,6.8172484599589325,DOB
TT092_1782062165784,5,5.078713210130048,DOB
TT093_1782146028308,5,5.420944558521561,DOB
TT093_1783090754524,7,7.786447638603696,DOB
TT093_1783283180623,6,6.557152635181383,DOB
TT093_1784850112799,5,5.180013689253936,DOB
TT094_1782500498851,8,8.498288843258042,DOB
TT094_1783365963313,5,5.347022587268994,DOB
TT094_1783443706310,7,7.630390143737166,DOB
TT095_1782425269794,8,8.5,reported+0.5
TT098_1781998891844,8,8.120465434633813,DOB
