participantId,chsId,firstName,age,versionThisBlock,versionClose,versionBoss,blockBoss,blockClose,blockOrder,blockCurrent,questionType,epistemic,blockRoleA,blockRoleB,rolesSwapped,effectiveRoleA,effectiveRoleB,dataExportTag,target,behavior,personA,groupA,personB,groupB,speechA,speechB,portraitImgShown,actionImgShown,orangeImgShown,greenImgShown,chosenName,chosenGroup,chosenRole,responseRecode,hypothesisConsistent,rt_ms,timestamp,ageGroup,age_c,qT,ep,ag,y,age_best,age_source
TT002_1783036107525,,vienna,6,A,B,A,yes2_boss,hmm2_close,boss_close,yes2_boss,boss,yes,individual,group,False,individual,group,Balls_Yes_2_b,Alex,balls,Quinn,flurp,Drew,zazzo,"Yes, Alex likes to bounce balls on their heads.","Yes, Wugs like to bounce balls on their heads.",alex.png,alex_ball.png,orange9.png,green6.png,Quinn,flurp,individual,2,0,24976,2026-07-02T23:53:29.578Z,Younger,-0.27073104330506315,-1.0,-1.0,1.0,0,6.852840520191649,DOB
TT002_1783036107525,,vienna,6,A,B,A,yes2_boss,hmm2_close,boss_close,yes2_boss,boss,yes,individual,group,False,individual,group,Whisper_Yes_2_b,Jordan,whisper,Skyler,flurp,Reese,zazzo,"Yes, Jordan likes to whisper when they talk.","Yes, Wugs like to whisper when they talk.",jordan.png,jordan_whisper.png,orange6.png,green10.png,Reese,zazzo,group,1,1,17080,2026-07-02T23:54:17.234Z,Younger,-0.27073104330506315,-1.0,-1.0,1.0,1,6.852840520191649,DOB
TT002_1783036107525,,vienna,6,A,B,A,yes2_boss,hmm2_close,boss_close,yes2_boss,boss,yes,individual,group,False,individual,group,Bugs_Yes_2_b,Rowan,bugs,Emery,flurp,Jules,zazzo,"Yes, Rowan likes to play with bugs.","Yes, Wugs like to play with bugs.",rowan.png,rowan_bugs.png,orange13.png,green12.png,Emery,flurp,individual,2,0,10296,2026-07-02T23:55:02.018Z,Younger,-0.27073104330506315,-1.0,-1.0,1.0,0,6.852840520191649,DOB
TT002_1783036107525,,vienna,6,A,B,A,yes2_boss,hmm2_close,boss_close,yes2_boss,boss,yes,individual,group,True,group,individual,Night_Yes_2_b,Casey,night,River,flurp,Morgan,zazzo,"Yes, Wugs like to stay up in the middle of the night.","Yes, Casey likes to stay up in the middle of the night.",casey.png,casey_night.png,orange8.png,green11.png,River,flurp,group,1,1,13488,2026-07-02T23:55:47.987Z,Younger,-0.27073104330506315,-1.0,-1.0,1.0,1,6.852840520191649,DOB
TT002_1783036107525,,vienna,6,A,B,A,yes2_boss,hmm2_close,boss_close,yes2_boss,boss,yes,individual,group,True,group,individual,Flowers_Yes_2_b,Riley,flowers,Ash,flurp,Charlie,zazzo,"Yes, Wugs like to eat flowers.","Yes, Riley likes to eat flowers.",riley.png,riley_flowers.png,orange13.png,green9.png,Charlie,zazzo,individual,2,0,10816,2026-07-02T23:56:32.003Z,Younger,-0.27073104330506315,-1.0,-1.0,1.0,0,6.852840520191649,DOB
TT002_1783036107525,,vienna,6,A,B,A,yes2_boss,hmm2_close,boss_close,yes2_boss,boss,yes,individual,group,False,individual,group,Walls_Yes_2_b,Taylor,walls,Finley,flurp,Robin,zazzo,"Yes, Taylor likes to climb tall buildings.","Yes, Wugs like to climb tall buildings.",taylor.png,taylor_walls.png,orange3.png,green12.png,Robin,zazzo,group,1,1,12368,2026-07-02T23:57:13.795Z,Younger,-0.27073104330506315,-1.0,-1.0,1.0,1,6.852840520191649,DOB
TT002_1783036107525,,vienna,6,B,B,A,yes2_boss,hmm2_close,boss_close,hmm2_close,close,hmm,individual,group,False,individual,group,Spinning_Hmm_2,Wren,spinning,Lumi,flurp,Flint,zazzo,"Hmm, Wren must like to spin around before sitting down.","Hmm, Wugs must like to spin around before sitting down.",wren.png,wren_spinning.png,orange13.png,green1.png,Lumi,flurp,individual,2,1,16256,2026-07-02T23:58:40.347Z,Younger,-0.27073104330506315,1.0,1.0,1.0,1,6.852840520191649,DOB
TT002_1783036107525,,vienna,6,B,B,A,yes2_boss,hmm2_close,boss_close,hmm2_close,close,hmm,individual,group,False,individual,group,Rocks_Hmm_2,Sam,rocks,Nova,flurp,Finn,zazzo,"Hmm, Sam must like to pick up rocks and put them in their pocket.","Hmm, Wugs must like to pick up rocks and put them in their pocket.",sam.png,sam_rocks.png,orange15.png,green1.png,Nova,flurp,individual,2,1,13728,2026-07-02T23:59:22.883Z,Younger,-0.27073104330506315,1.0,1.0,1.0,1,6.852840520191649,DOB
TT002_1783036107525,,vienna,6,B,B,A,yes2_boss,hmm2_close,boss_close,hmm2_close,close,hmm,individual,group,False,individual,group,Plants_Hmm_2,Sage,plants,Juno,flurp,Reed,zazzo,"Hmm, Sage must like to talk to plants.","Hmm, Wugs must like to talk to plants.",sage.png,sage_plants.png,orange4.png,green7.png,Reed,zazzo,group,1,0,12576,2026-07-03T00:00:04.411Z,Younger,-0.27073104330506315,1.0,1.0,1.0,0,6.852840520191649,DOB
TT002_1783036107525,,vienna,6,B,B,A,yes2_boss,hmm2_close,boss_close,hmm2_close,close,hmm,individual,group,True,group,individual,Backwards_Hmm_2,Theo,backwards,Cleo,flurp,Moss,zazzo,"Hmm, Wugs must like to walk backwards.","Hmm, Theo must like to walk backwards.",theo.png,theo_backwards.png,orange8.png,green2.png,Cleo,flurp,group,1,0,10680,2026-07-03T00:00:45.699Z,Younger,-0.27073104330506315,1.0,1.0,1.0,0,6.852840520191649,DOB
